address,mac,ssid
1600 Pennsylvania Avenue NW Washington DC,AA:BB:CC:DD:EE:01,WhiteHouse_1_0
350 Fifth Avenue New York NY,AA:BB:CC:DD:EE:02,Empire_1_0
1 Infinite Loop Cupertino CA,AA:BB:CC:DD:EE:03,Apple_1_0
1 Microsoft Way Redmond WA,AA:BB:CC:DD:EE:04,Microsoft_1_0
1 Hacker Way Menlo Park CA,AA:BB:CC:DD:EE:05,Facebook_1_0
1901 S Bell Ave Chicago IL,AA:BB:CC:DD:EE:06,Google_1_0
410 Terry Ave N Seattle WA,AA:BB:CC:DD:EE:07,Amazon_1_0
1 Tesla Road Austin TX,AA:BB:CC:DD:EE:08,Tesla_1_0
1 Apple Park Way Cupertino CA,AA:BB:CC:DD:EE:09,ApplePark_1_0
500 Oracle Parkway Redwood City CA,AA:BB:CC:DD:EE:0A,Oracle_1_0
100 Oracle Parkway Redwood City CA,AA:BB:CC:DD:EE:0B,Oracle2_1_0
200 Oracle Parkway Redwood City CA,AA:BB:CC:DD:EE:0C,Oracle3_1_0
300 Oracle Parkway Redwood City CA,AA:BB:CC:DD:EE:0D,Oracle4_1_0
400 Oracle Parkway Redwood City CA,AA:BB:CC:DD:EE:0E,Oracle5_1_0
600 Oracle Parkway Redwood City CA,AA:BB:CC:DD:EE:0F,Oracle6_1_0
700 Oracle Parkway Redwood City CA,AA:BB:CC:DD:EE:10,Oracle7_1_0
800 Oracle Parkway Redwood City CA,AA:BB:CC:DD:EE:11,Oracle8_1_0
900 Oracle Parkway Redwood City CA,AA:BB:CC:DD:EE:12,Oracle9_1_0
1000 Oracle Parkway Redwood City CA,AA:BB:CC:DD:EE:13,Oracle10_1_0
1 CNN Center Atlanta GA,AA:BB:CC:DD:EE:14,CNN_1_0
30 Rockefeller Plaza New York NY,AA:BB:CC:DD:EE:15,NBC_1_0
77 W 66th St New York NY,AA:BB:CC:DD:EE:16,ABC_1_0
51 W 52nd St New York NY,AA:BB:CC:DD:EE:17,CBS_1_0
1211 Avenue of the Americas New York NY,AA:BB:CC:DD:EE:18,Fox_1_0
1 Time Warner Center New York NY,AA:BB:CC:DD:EE:19,TimeWarner_1_0
1 AT&T Plaza Dallas TX,AA:BB:CC:DD:EE:1A,ATT_1_0
1095 Avenue of the Americas New York NY,AA:BB:CC:DD:EE:1B,Verizon_1_0
600 New Jersey Ave NW Washington DC,AA:BB:CC:DD:EE:1C,Sprint_1_0
6200 Sprint Pkwy Overland Park KS,AA:BB:CC:DD:EE:1D,SprintHQ_1_0
1 Coca Cola Plaza Atlanta GA,AA:BB:CC:DD:EE:1E,CocaCola_1_0
1 Pepsi Way Purchase NY,AA:BB:CC:DD:EE:1F,Pepsi_1_0
1 Dr Pepper Way Plano TX,AA:BB:CC:DD:EE:20,DrPepper_1_0
