lat,lon,bssid,ssid
43.0234516603357,-83.69682179030845,00:00:00:00:00:00,
43.02453329309715,-83.69584089643645,00:00:00:00:00:00,
43.02351,-83.69681999999999,00:00:00:00:6E:36,
43.02220346610961,-83.69830467548165,00:00:00:00:E1:6F,VM-207
43.022368294973404,-83.69797048038916,00:00:00:00:E1:6F,VM-207
43.02253578322486,-83.69762046103436,00:00:00:00:E1:6F,VM-207
43.02341595598259,-83.69423684194511,00:00:00:02:61:E1,VM-207
43.02344832842531,-83.69682499999999,00:00:00:02:A1:46,
43.02840117178016,-83.6937841037733,00:00:00:03:65:AC,
43.023418072559174,-83.69679667785087,00:00:00:04:38:69,VM-207
43.02344546496263,-83.69681450989724,00:00:00:04:75:EA,
42.98930950690988,-83.67624069287669,00:00:00:04:C4:47,VM-207
42.99030955926381,-83.6763913086441,00:00:00:04:C4:47,VM-207
42.9912984605873,-83.67666839008633,00:00:00:04:C4:47,VM-207
42.98837743856812,-83.74064127337853,00:00:00:04:D4:79,VM-207
42.98146186113974,-83.75930483351497,00:00:00:05:2B:10,VM-207
42.98146187810531,-83.75930481997811,00:00:00:05:2B:10,VM-207
43.01571735155976,-83.6940819554393,00:00:00:05:BC:20,VM-207
43.0211486732863,-83.70083805860598,00:00:00:07:20:10,AccuAir_eLevel+
43.02345166695839,-83.69682499999332,00:00:00:0A:4D:12,VM-207
43.02346539763398,-83.69681480707436,00:00:00:0A:E4:48,VM-207
43.02349037502125,-83.69687378593936,00:00:00:0A:E4:F8,
43.023490375021254,-83.69687378593936,00:00:00:0A:E4:F8,
43.023581624437256,-83.69335947172507,00:00:00:0A:F3:6A,VM-207
43.022476301233056,-83.69725439879589,00:00:00:0B:07:BB,
43.02341120818883,-83.69581726115639,00:00:00:0B:4D:B0,
43.0239051243805,-83.6922697445212,00:00:00:0C:AF:65,
43.02210990994106,-83.6986039475295,00:00:00:0E:42:4B,VM-207
43.02211568723466,-83.69858655007842,00:00:00:0E:42:4B,VM-207
43.02109226622038,-83.69526981042365,00:00:00:13:39:20,YET-M1
43.021540805038605,-83.69711858150738,00:00:00:34:33:33,VHMLite-ble
43.002079189012086,-83.76741382261554,00:00:00:FF:FF:FF,RT70
43.002079299861194,-83.76747184739254,00:00:00:FF:FF:FF,RT70
43.023429386339515,-83.69682888767429,00:00:0E:EB:87:74,
43.02338887484648,-83.69461016394082,00:00:31:4F:B8:19,
43.02345832709529,-83.6968666729047,00:00:45:00:1A:F1,ILive
43.02346573595189,-83.69685945189788,00:00:45:00:1A:F1,ILive
43.0234733293617,-83.6968233293617,00:00:45:00:1A:F1,ILive
43.0184111887981,-83.69297318489062,00:00:46:4E:60:2B,Android Bluedroid
43.02345073942501,-83.69684150000091,00:00:46:76:CD:D4,
43.018451888225776,-83.69294064343295,00:00:46:FE:D2:F7,chop
43.02354174611582,-83.69690169557605,00:00:A0:03:8E:21,
43.02335833333333,-83.69667,00:00:A0:0D:DE:E9,HD65 Select
43.023358333333334,-83.69667,00:00:A0:0D:DE:E9,HD65 Select
43.023381666666666,-83.69675833333334,00:00:A0:0D:DE:E9,HD65 Select
43.023383333333335,-83.69685833333332,00:00:A0:0D:DE:E9,HD65 Select
43.02345166972015,-83.69678166971858,00:00:A0:0D:DE:E9,HD65 Select
43.023456700678494,-83.69696157931216,00:00:A0:0D:DE:E9,HD65 Select
43.023465,-83.69686000000002,00:00:A0:0D:DE:E9,HD65 Select
43.02347499999999,-83.69684333333335,00:00:A0:0D:DE:E9,HD65 Select
43.02073401494219,-83.69669237154875,00:00:A0:13:7C:48,HD65 Ultra
43.020837216430635,-83.69682389134636,00:00:A0:13:7C:48,HD65 Ultra
43.02083721643064,-83.69682389134636,00:00:A0:13:7C:48,HD65 Ultra
43.01761519839186,-83.69265910195695,00:00:CA:F5:7B:DA,
43.01761607864447,-83.69265891982307,00:00:CA:F5:7B:DA,
43.01761635879095,-83.69265869121107,00:00:CA:F5:7B:DA,
42.977530851709155,-83.77208711330005,00:01:21:31:8D:9D,TC_Trusted
43.015495739236414,-83.69054116095712,00:01:21:34:6B:96,LPS
43.015554631541605,-83.69059536121128,00:01:21:34:6B:97,LPS
43.02263477876425,-83.69432939482465,00:01:6A:7F:70:65,
43.022643436337624,-83.6943202000996,00:01:6A:7F:70:65,
43.01547441734918,-83.68757431745658,00:01:90:6E:88:52,
43.01754264560563,-83.6922827253227,00:01:90:85:22:09,TM-m30_039194
43.01809,-83.692465,00:01:90:85:22:09,TM-m30_039194
43.017644183692035,-83.69210146992272,00:01:90:85:22:64,TM-m30_039189
43.01766554882311,-83.69237608013466,00:01:90:85:22:64,TM-m30_039189
43.01773893491607,-83.69221706582215,00:01:90:85:22:64,TM-m30_039189
43.017894999999996,-83.69247166666668,00:01:90:85:22:64,TM-m30_039189
43.017895,-83.69247166666668,00:01:90:85:22:64,TM-m30_039189
42.98837778885706,-83.74057073695359,00:01:95:8B:8B:48,
43.01683205461757,-83.69152735116127,00:01:B9:64:80:4A,
43.023429434172236,-83.6968539121734,00:02:5B:01:07:E5,
42.98058241800037,-83.76133690995823,00:02:5B:03:FA:02,
42.980582418000374,-83.76133690995823,00:02:5B:03:FA:02,
43.022869791925906,-83.69611744056286,00:02:5B:07:BE:B6,G7
43.02344880000472,-83.69692776286816,00:02:5B:08:77:12,G3
43.02360333333333,-83.696635,00:02:5B:08:77:12,G3
43.02363999999999,-83.69679333333333,00:02:5B:08:77:12,G3
43.023385388693555,-83.69673181284722,00:02:5B:09:9A:DE,G7
43.02346532615782,-83.69681479090217,00:02:5B:09:9A:DE,G7
43.02394581139989,-83.6918664404963,00:02:5B:82:90:00,MMB
43.023950032074396,-83.69179874864682,00:02:5B:82:90:00,MMB
42.98006883448606,-83.75889765710518,00:02:6F:AA:B4:39,EnGenius1
42.98102360460586,-83.7587761546942,00:02:6F:AA:B4:39,EnGenius1
42.9811065286202,-83.75864463480029,00:02:6F:AA:B4:39,EnGenius1
42.981320036442426,-83.75659270206855,00:02:6F:AA:B4:39,EnGenius1
42.98151730932107,-83.75764205855876,00:02:6F:AA:B4:39,EnGenius1
42.98161634853822,-83.7567854570006,00:02:6F:AA:B4:39,EnGenius1
42.981967138309095,-83.75625815446296,00:02:6F:AA:B4:39,EnGenius1
42.98209463178389,-83.75593725303958,00:02:6F:AA:B4:39,EnGenius1
43.01440207693177,-83.6841571714925,00:02:6F:BB:F7:17,EnGenius1
43.01389299360858,-83.68310585748188,00:02:6F:BB:F7:1A,EastVillage_Guest
43.01419774917768,-83.68395198586236,00:02:6F:BB:F7:1A,EastVillage_Guest
43.01440207693177,-83.6841571714925,00:02:6F:BB:F7:1A,EastVillage_Guest
42.70628253127443,-83.40476878847387,00:02:6F:BD:AF:AB,Luke2
42.984130877391316,-83.75084489315779,00:02:6F:BD:AF:AB,Luke2
43.010963181879625,-83.68622169433907,00:02:6F:BD:AF:AB,Luke2
43.01106466677922,-83.68644052394751,00:02:6F:BD:AF:AB,Luke2
43.01106725752019,-83.686460451652,00:02:6F:BD:AF:AB,Luke2
43.01134959906578,-83.68671172741999,00:02:6F:BD:AF:AB,Luke2
43.01138243724323,-83.68690556584961,00:02:6F:BD:AF:AB,Luke2
43.011425577829854,-83.68676607777375,00:02:6F:BD:AF:AB,Luke2
43.01145421544687,-83.68683208300881,00:02:6F:BD:AF:AB,Luke2
43.011464450369054,-83.68680376015622,00:02:6F:BD:AF:AB,Luke2
43.01146792037678,-83.68681140444741,00:02:6F:BD:AF:AB,Luke2
43.011488251968586,-83.68680163847506,00:02:6F:BD:AF:AB,Luke2
43.01151974727751,-83.68688800302907,00:02:6F:BD:AF:AB,Luke2
43.01152169524801,-83.68681750097578,00:02:6F:BD:AF:AB,Luke2
43.01152922070127,-83.68705291588046,00:02:6F:BD:AF:AB,Luke2
43.01171632101885,-83.68715938162987,00:02:6F:BD:AF:AB,Luke2
43.011845710234574,-83.68732105596706,00:02:6F:BD:AF:AB,Luke2
43.011873095648326,-83.68722813238736,00:02:6F:BD:AF:AB,Luke2
43.011968977154126,-83.68756208217536,00:02:6F:BD:AF:AB,Luke2
43.01199456563288,-83.68758365467768,00:02:6F:BD:AF:AB,Luke2
43.012127149379765,-83.6874552965553,00:02:6F:BD:AF:AB,Luke2
43.01215973356973,-83.68753896207471,00:02:6F:BD:AF:AB,Luke2
43.01227674959976,-83.68769501576094,00:02:6F:BD:AF:AB,Luke2
43.01244322086906,-83.68778892605881,00:02:6F:BD:AF:AB,Luke2
43.01252787329003,-83.6880787151458,00:02:6F:BD:AF:AB,Luke2
43.01253535532616,-83.68774378000704,00:02:6F:BD:AF:AB,Luke2
43.012568736712836,-83.68782519688054,00:02:6F:BD:AF:AB,Luke2
43.01259276423788,-83.68788097700148,00:02:6F:BD:AF:AB,Luke2
43.01261167929088,-83.68789857663393,00:02:6F:BD:AF:AB,Luke2
43.01267331083181,-83.68802693500972,00:02:6F:BD:AF:AB,Luke2
43.01269018114625,-83.6879236275653,00:02:6F:BD:AF:AB,Luke2
43.01279589268328,-83.68813465577033,00:02:6F:BD:AF:AB,Luke2
43.012831832976545,-83.68814911693109,00:02:6F:BD:AF:AB,Luke2
43.012868524305986,-83.68815928391327,00:02:6F:BD:AF:AB,Luke2
43.01288587674785,-83.68809649171148,00:02:6F:BD:AF:AB,Luke2
43.01289988208305,-83.68809774938813,00:02:6F:BD:AF:AB,Luke2
43.01291551239768,-83.68814410988456,00:02:6F:BD:AF:AB,Luke2
43.012915577543865,-83.68824986759243,00:02:6F:BD:AF:AB,Luke2
43.012939187878516,-83.6881454746138,00:02:6F:BD:AF:AB,Luke2
43.01297584715062,-83.68821742048058,00:02:6F:BD:AF:AB,Luke2
43.01299280251567,-83.68833064323294,00:02:6F:BD:AF:AB,Luke2
43.0130225942703,-83.68823700318607,00:02:6F:BD:AF:AB,Luke2
43.01302293625418,-83.68845537684055,00:02:6F:BD:AF:AB,Luke2
43.013077759306036,-83.68840737833584,00:02:6F:BD:AF:AB,Luke2
43.01311153862894,-83.68836880960136,00:02:6F:BD:AF:AB,Luke2
43.01314035559384,-83.68832282125587,00:02:6F:BD:AF:AB,Luke2
