lat,lon,bssid,ssid
42.94616484161018,-83.72895471805425,78:93:AD:8D:B2:00,
42.94616492242182,-83.72926524336424,12:25:48:61:53:7A,Surgeboom 2
42.94616492242182,-83.72926524336424,5C:5B:35:1F:87:16,st044bt03
42.94616492242182,-83.72926524336424,5C:5B:35:1F:8A:54,st044bt40
42.94616492242182,-83.72926524336424,5C:5B:35:D0:0E:86,
42.946165084086076,-83.72944244514353,5C:5B:35:1F:87:A2,st044bt22
42.946165274197526,-83.72895444601563,F3:B4:0A:ED:76:B5,
42.946165533522034,-83.72900339012399,5C:5B:35:DE:D0:93,meijerwifi
42.9461659030478,-83.72886355054084,5C:5B:35:1F:8A:E0,
42.9461659030478,-83.72886355054084,5C:5B:35:1F:8A:F9,st044bt36
42.9461659030478,-83.72886355054084,5C:5B:35:D0:0F:26,
42.9461659030478,-83.72886355054084,5C:5B:35:DD:37:D4,
42.9461659030478,-83.72886355054084,5C:5B:35:DE:D0:94,
42.9461659030478,-83.72886355054084,5C:5B:35:DE:F1:71,red5
42.9461659030478,-83.72886355054084,5C:5B:35:DE:F1:72,meijerwifi
42.9461659030478,-83.72886355054084,5C:5B:35:DE:F1:73,
42.9461659030478,-83.72886355054084,5C:5B:35:DE:F1:74,meijer-corp
42.9461659030478,-83.72886355054084,5C:5B:35:DE:F1:75,meijer-vendor
42.9461659030478,-83.72886355054084,5C:5B:35:DE:F1:76,mprotek
42.9461659030478,-83.72886355054084,5C:5B:35:DE:F1:77,.p
42.9461659030478,-83.72886355054084,BA:9F:09:C9:C1:2C,N Lechota
42.946165924242536,-83.72895408179717,4F:D6:F3:94:01:1F,
42.946165924242536,-83.72895408179717,5C:5B:35:E5:12:35,meijer-vendor
42.94616598378901,-83.72927157116388,310260_42748_5894669,T-Mobile USA
42.94616598378901,-83.72927157116388,5C:5B:35:DD:37:B4,meijer-corp
42.94616598378901,-83.72927157116388,5C:5B:35:DD:37:B5,meijer-vendor
42.94616598378901,-83.72927157116388,5C:5B:35:DD:37:B6,mprotek
42.94616598378901,-83.72927157116388,5C:5B:35:DE:E7:E7,.p
42.94616598378901,-83.72927157116388,5C:5B:35:DE:EF:21,paxar
42.94616598378901,-83.72927157116388,5C:5B:35:DE:EF:22,red5
42.94616598378901,-83.72927157116388,5C:5B:35:DE:EF:24,
42.94616598378901,-83.72927157116388,5C:5B:35:DF:13:67,.p
42.94616598378901,-83.72927157116388,5C:5B:35:E5:0C:43,
42.94616598378901,-83.72927157116388,5C:5B:35:E5:0C:44,meijer-corp
42.94616598378901,-83.72927157116388,D4:20:B0:86:F3:91,red5
42.94616598378901,-83.72927157116388,D4:20:B0:86:F3:93,meijer-vendor
42.94616598378901,-83.72927157116388,DC:2C:6E:52:2C:6D,BIGGBY Wi-Fi
42.94616598378901,-83.72927157116388,DE:2C:6E:52:2C:6D,BIGGBY Wi-Fi - Private
42.94616600896665,-83.72923370116506,06:27:E9:45:A2:8C,
42.94616600896665,-83.72923370116506,0B:39:EA:C3:D6:71,
42.94616600896665,-83.72923370116506,55:28:74:D9:B9:85,
42.94616600896665,-83.72923370116506,5C:5B:35:1F:81:B2,st044bt41
42.94616600896665,-83.72923370116506,5C:5B:35:1F:8A:54,st044bt40
42.94616600896665,-83.72923370116506,5C:5B:35:1F:8E:28,
42.94616600896665,-83.72923370116506,5F:0C:B3:66:68:91,
42.946166235998916,-83.72927556092071,02:49:A5:5F:C5:16,myChevrolet6503
42.946166235998916,-83.72927556092071,5C:5B:35:D9:0D:21,paxar
42.946166235998916,-83.72927556092071,5C:5B:35:DD:37:B7,.p
42.946166235998916,-83.72927556092071,5C:5B:35:DD:38:D7,.p
42.946166235998916,-83.72927556092071,5C:5B:35:DE:D0:77,.p
