bssid,lat,lon
34:13:43:0B:5D:2C,42.97928550123747,-83.67406075916304
70:13:01:85:41:76,43.02348005506409,-83.69680107810818
C9:40:D4:BB:FA:B0,43.018468990987785,-83.6914549775062
D8:0F:99:31:F5:C2,42.980697884878104,-83.76109374121656
C5:95:02:D5:9F:12,43.01846696061373,-83.69143709114208
AC:8B:A9:5E:01:57,43.02369641852334,-83.69522523920344
C2:8B:A9:5E:01:57,43.02369014335025,-83.69521192572607
C9:5D:39:08:AC:3B,43.018273337815764,-83.69172768162625
8C:61:A3:7C:BD:08,43.02343763622101,-83.696776775556
9C:2A:70:CC:21:52,43.02346467173423,-83.69664630819574
8C:61:A3:7C:BD:09,43.023435711449594,-83.69677985580718
92:4F:B8:9D:48:3A,43.02348614650016,-83.69687549166532
D2:E4:0E:B0:4B:57,42.98362320595385,-83.749604380194
2E:D9:74:62:52:6B,43.02348595129725,-83.69682438274117
98:C8:54:B0:40:5B,42.988436611276605,-83.74065097685401
CE:61:A3:7C:BD:08,43.023436019417076,-83.6967812510565
A2:C8:54:B0:40:5B,42.98843187002321,-83.74064257482253
C1:10:84:5C:CA:A4,42.98363168491878,-83.74961180783
AE:61:A3:7C:BD:08,43.02344047185222,-83.69678426373952
18:58:80:B5:20:F8,43.02346690158064,-83.6968701160567
AE:61:A3:7C:BD:09,43.02343887639398,-83.69677560917786
D6:48:0E:83:9A:C9,43.023487293825184,-83.69678629171597
CE:61:A3:7C:BD:09,43.0234338204994,-83.69676965848426
18:58:55:BC:20:F8,43.02345532783208,-83.69686746301697
8C:0F:6F:93:47:98,43.02413670555037,-83.69419578787725
3B:C0:B5:CC:46:8A,43.023464687613995,-83.69683930618802
D6:58:95:9D:15:CB,42.98361910074029,-83.74962522831588
DC:F9:81:21:4C:70,42.983606668832635,-83.74957806811891
50:81:40:1E:51:77,42.979274779485834,-83.67397907168932
E6:CB:AC:91:CB:EE,42.98846846898364,-83.74065332537151
EA:CB:AC:91:CB:EE,42.98846744974517,-83.74065482766434
DF:BA:0C:70:EA:E7,43.01845165587492,-83.69143527242596
18:E8:29:52:3B:B4,42.98846378630188,-83.74066205342463
EE:CB:AC:91:CB:EE,42.988466138829715,-83.74065394197088
96:04:E3:32:07:3A,42.979284248732114,-83.67403120294288
1E:E8:29:52:3B:B4,42.988462226766295,-83.74065792939783
58:E8:76:0B:9B:32,42.97926851030972,-83.67399625925582
E2:CB:AC:91:CB:EE,42.98845271113528,-83.74064716689041
55:5C:7E:0C:04:3B,43.02346039093371,-83.69678578505294
96:04:E3:32:07:3C,42.97928067501312,-83.67403035219888
26:E8:29:52:3B:B4,42.98845736448614,-83.74065311431275
CB:4E:FD:1D:69:66,43.02347691840028,-83.69676653636107
96:04:E3:2B:07:39,42.97929568916182,-83.67403351430193
78:D2:94:7A:A0:E4,42.98844639526589,-83.74063793926717
41:42:5E:BB:E8:33,43.023474338046626,-83.69662499050128
96:04:E3:32:07:3E,42.979278760658794,-83.67401191526312
BA:FB:E4:4A:97:CD,43.02073660226936,-83.69677812563
3E:2D:9E:FF:8A:0E,42.98847343370476,-83.74064398461917
CE:C9:D8:F5:83:D1,42.98361255132612,-83.74961726922024
E6:99:AF:86:49:D3,42.9836026550975,-83.74960595992971
BA:5E:71:AD:4E:60,42.98845702413213,-83.74065435169233
22:E8:29:52:3B:B4,42.98845441212355,-83.74063163420196
F6:CF:A2:71:38:FE,42.97926747503519,-83.67399003734015
ED:AD:7E:4C:6D:61,43.01489242736572,-83.68983143700697
8C:0F:6F:12:BC:B8,43.02389192348335,-83.69239560091671
BA:5E:71:AD:4E:66,42.98845465960366,-83.74066170810107
41:42:27:DF:CD:67,43.02348503221459,-83.6968130188279
22:E8:29:51:3B:B4,42.98845517567095,-83.74062713487538
E2:CB:AC:91:CE:53,42.98845490467648,-83.74063273609278
C2:FB:E4:D8:3D:FF,43.020773956086316,-83.69682701530316
D8:C8:DD:C3:33:EF,42.98361180464499,-83.74955662681086
30:57:8E:53:DA:67,43.02034142480107,-83.69453783924408
10:86:8C:DC:70:A5,43.0238851872721,-83.69231556818477
EE:CB:AC:91:CE:53,42.988448011476606,-83.74063476182232
E6:CB:AC:91:CE:53,42.98845298961458,-83.74063701124297
C0:18:03:DD:C3:2F,43.020373166179056,-83.69457823446325
B2:8B:A9:5E:C1:43,43.01471964731088,-83.68973993829779
1C:30:08:38:5B:92,42.97928198830954,-83.6740275481853
AC:91:9B:9D:24:96,42.979235220602824,-83.67396039736981
BA:8B:A9:5E:C1:43,43.01471088138455,-83.68972624665133
EA:CB:AC:91:CE:53,42.988448124797664,-83.7406352887369
AC:8B:A9:5E:C1:43,43.01472231001381,-83.68973791724942
DC:0D:30:A3:FF:76,42.979226330006426,-83.67396114312587
3E:2D:9E:F8:8A:0D,42.98846513139336,-83.74063172968997
92:0F:6F:12:BC:B8,43.02388067956581,-83.69234498962778
BE:FB:E4:D8:3D:FF,43.02075649444372,-83.69682958644535
5B:08:2F:44:D6:C2,43.023500154583495,-83.69679019684465
96:AD:43:5E:8D:C8,43.023478925600344,-83.69678918479904
BA:5E:71:AD:4E:62,42.98843965943162,-83.74064179379508
BA:8B:A9:6F:6D:85,43.023425144616255,-83.69449940621155
B6:8B:A9:5E:C1:43,43.014726998880604,-83.68974862264396
BA:FB:E4:4B:97:CD,43.020706583913515,-83.69680606880164
B4:FB:E4:4B:97:CD,43.02073115427746,-83.69682665484444
E8:62:95:02:F0:84,42.98365596801016,-83.74952109200242
F0:8B:41:4D:D3:13,43.02066083143294,-83.69676271527881
B2:91:9B:9D:24:96,42.97923929189951,-83.67395599552906
EE:E1:7F:54:1A:76,43.018536335008186,-83.69149253630145
5C:5B:35:55:94:53,43.0177922608914,-83.69245110863983
62:45:B6:B8:B3:24,43.023454630491784,-83.69655942888866
A2:AD:43:5E:8D:C8,43.02347917058378,-83.69681925280744
52:81:40:AB:37:89,43.01463118638305,-83.689609263106
32:86:8C:DC:70:A5,43.023876675986884,-83.69230533367826
F6:AA:A0:85:3B:00,43.014849585709754,-83.68985165993521
52:86:8C:DC:70:A5,43.02386835394337,-83.69226889620467
EC:C1:AE:7E:6D:19,43.01581722164272,-83.69063748756716
E2:BB:0C:9A:48:2E,42.98360077195736,-83.74961411675667
88:08:94:62:B6:19,43.023474186007064,-83.6968290987394
BE:8B:A9:5E:C1:43,43.01472830590818,-83.68974687886622
3E:2D:9E:FF:8A:0C,42.98846784170932,-83.74065286011061
1C:9E:CC:B4:00:10,42.97928170328609,-83.67400696702454
D4:DC:09:25:D3:39,43.01773533445752,-83.69251889768975
8E:AD:43:5E:8D:C8,43.0234828336573,-83.69681757841019
5C:5B:35:55:8B:83,43.01766997175296,-83.6924719674826
5C:5B:35:55:8B:81,43.01774582609296,-83.6925009822221
23:01:02:0C:82:83,42.97922985458583,-83.67396453495972
30:57:8E:53:DA:6A,43.02035372930208,-83.69455364777103
1C:9E:CC:B4:00:08,42.97927083782761,-83.67400713062666
B6:FB:E4:45:D3:64,43.0146148449337,-83.68964779439574
C4:93:DF:D7:9E:CF,42.98358158841132,-83.74960592119928
1A:FD:74:FB:DD:9B,43.01474181998978,-83.68976059184597
C2:8B:A9:5E:C1:43,43.014740756544256,-83.68975971931036
B2:8B:A9:5E:B0:D7,43.0235474017069,-83.69395075151337
D4:5E:89:4D:93:16,43.023764491335406,-83.69499546364024
D8:6C:63:D6:F6:D4,43.01464748328991,-83.6896493522718
BA:8B:A9:5E:B0:D7,43.02354600450096,-83.69398752671809
5C:5B:35:55:94:51,43.017803901832,-83.6924709261088
68:D7:9A:63:73:52,43.01487979747574,-83.68981687708714
4A:9E:BD:6A:CD:7F,43.020820924915554,-83.69672965735859
D4:DC:09:60:A7:51,43.01830896075092,-83.6925463314814
F4:2E:7F:F3:AF:92,43.0213191505872,-83.7041306108319
FF:2D:55:A3:26:B0,42.9840178873799,-83.74854998440094
52:06:F5:4E:0C:FD,43.020419988813885,-83.69457338158385
D4:DC:09:60:CC:B1,43.01814803332318,-83.69277292426408
1E:51:A4:09:BE:9F,43.02157374430305,-83.69552415861251
F4:4E:FD:05:D2:7A,43.02350206173871,-83.6967971722056
CF:F0:F0:98:FF:70,43.023433362155124,-83.69670341482274
32:86:8C:5B:F4:BB,43.023841383465076,-83.69263982680428
30:BB:7D:58:AF:2E,43.02346584467623,-83.69689091864424
F2:AA:A0:85:3B:00,43.014837397966105,-83.68986821524915
D0:84:38:D9:3C:03,42.98349572887847,-83.74975387305314
10:F0:68:8D:F4:40,43.0152268441114,-83.69018993807974
22:86:8C:DC:70:A5,43.02388430234932,-83.69233736917231
6E:55:E8:8F:67:13,43.01459900994694,-83.68960383790645
D4:DC:09:5F:4C:52,43.01950631897581,-83.69377053043489
9A:0F:6F:12:BC:B8,43.02388416833208,-83.6923942936467
5C:5B:35:50:29:FC,43.017729855983504,-83.69251983973264
F4:2E:7F:F3:AF:90,43.02131979916723,-83.70413585190323
AC:8B:A9:5E:B0:D7,43.02354704122533,-83.69398070418669
28:E6:A9:63:BB:D7,43.01772129717084,-83.6925044963386
5C:5B:35:55:9E:A3,43.01791977358221,-83.692518278408
F4:2E:7F:F3:AF:96,43.02131952556137,-83.70413392166284
DC:B7:AC:1F:EE:53,42.98849681201652,-83.74065984484074
F4:2E:7F:F2:45:90,43.021305005599636,-83.7042332085779
B6:FB:E4:44:D3:64,43.01452867000716,-83.68952463811965
5C:5B:35:55:90:01,43.01784440661319,-83.69253631627573
10:86:8C:5B:F4:BB,43.023840146669826,-83.6927075699999
94:2A:6F:A6:7E:05,43.014396146839694,-83.68942534176969
F4:2E:7F:F3:D9:B6,43.02131357238053,-83.70417668668628
F4:2E:7F:F3:D9:B5,43.02131839406394,-83.70417476649881
52:86:8C:5B:F4:BB,43.02388808989037,-83.692694502383
CC:6E:A4:F0:05:C9,43.019693519722914,-83.69382195122783
DC:1D:30:A3:FF:76,42.979231572113804,-83.67397601517969
D0:21:F9:2B:67:F6,43.021457746089055,-83.69544394004639
60:3D:26:FB:8F:D5,43.02372407541883,-83.69506692071889
10:F0:68:8D:F4:41,43.01520797898424,-83.69017963453992
84:D6:08:69:13:EB,43.023775682394835,-83.6949821716535
E9:32:74:88:6E:49,42.9836349522801,-83.74948951555764
44:DB:D2:95:36:8C,43.01768889020231,-83.69255842464342
D4:DC:09:25:D2:C1,43.0177398119526,-83.69252896528698
BC:CF:4F:EE:02:33,43.01574906659552,-83.69059697430906
2C:3F:0B:58:B0:83,43.011680290122094,-83.6870978849127
F4:2E:7F:F3:AF:94,43.021278208282105,-83.70416548064537
